FilePath,Project,CatchQuantity,CatchSizeLOC,CatchSizeSLOC,CaughtExceptions,TotalPossibleExceptions,PercentageOfCaughtExceptions
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MaxDBDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MaxDBSqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MimerSQLDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MimerSQLSqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MySQL55Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MySQL5Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MySQLLegacyDialect.java,hibernate-5.0,2,2,3,0,2,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MySQLLegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\Oracle10gDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\Oracle8iDialect.java,hibernate-5.0,0,0,0,0,0,0.0
